title,author,year,publication_type,keywords
O sombra kitsch na Ciência da Informação: concepções sobre a interdisciplinaridade identitária e epistêmica,Sérgio Rodrigues Santana; Maytê Luanna Dias de Melo; Edivanio Duarte de Souza,2021,Trabalho em Evento,Interdisciplinaridade; Kitsch; Epistemologia; Ciência da informação; Palavras e imagens esponjas
A redução ao sistema como operação epistêmica na pesquisa descritiva e explicativa em Ciência da Informação,Vinícius Medina Kern; Luciana Mara Silva; Paula Balbis Garcia; Letícia Silvana dos Santos Estácio; Wemylinn Giovana Florencio Andrade; Marta Denisczwicz; Leonardo Lima Günther; Robson Garcia Formoso,2016,Trabalho em Evento,"Cesm system model; Sistemismo; Modelo cesm de sistema; Epistemologia; Realismo científico; Interdisciplinaridade; Abstract:; The scientific reduction to the individual or atom, typical of analytical, disciplinary science, earned the derogatory designation “reductionism” to denounce its inadequacy to deal with concrete, complex problems.; Bunges systemism is a worldview at variance with reductionism, but also with the “reduction to the whole” of holistic approaches that deny the possibility of explanation through analysis.; This article presents the reduction to the system, a fundamental epistemic operation of systemism, with emphasis on its application to information science.; We discuss the fundamentals of systemism, particularly its composition-environment-structure-mechanism, or; CESM model, which frames systemist reduction.; A graduate course on systemist research with; CESM is presented, including a new modeling method, illustrated with students models.; We show how to explain systemic effects, even if counterintuitive, claiming that systemist research is in better conditions to do so than its rivals reductionism and holism."
Informação segundo niklas luhmann: base teórica para uma ciência do informar-se,Leonardo Barbosa de Moraes; Ricardo Rodrigues Barbosa; Marcos Gonzalez de Souza,2010,Artigo,"Teoria de sistemas; Autopoiesi; Epistemologia da; Ciência da; Informação; Abstract:; In the context of his encompassing systems theory,; Niklas; Luhmann (2010 [1995]) rejected the “metaphor of information transfer”, an hegemonic concept since the “theory of communication” of; Claude; Shannon (1948), which put him in a “minority position” in relation to the academic research of his time.; In an effort to erect “a building complex enough to serve as a contrast to what was obtained by tradition”,; Luhmann then proposed a surrogate concept of information, which is here interpreted in the light of linguistic arguments.; We conclude that, for; Luhmann, information is either “action of self information” or “a result or effect” of this action, which must be understood in the sense of instruction of processes.; We consider, in the end, that his concept and theory are able to expand the epistemological horizons of; Information; Science."
A materialidade simondoniana e a questão da informação,Solange Puntel Mostafa; Igor Soares Amorim,2021,Artigo,"Informação; Individuação; Simondon; Epistemologia; Deleuze; Abstract:; The notion of information crystallized in the area from the perspective of the; Mathematical; Theory of; Information, under the focus of communication, however, this is not the only possible semantics.; Gilbert; Simondon uses the concept of information as an element involved in the individuation process.; In dialogue with; Deleuze´s philosophy and the contributions of researcher; Faucher, this essay explores; Simondon´s ontology in order to put the concept of information back to; Information; Science.; For; Simondon, there is no physical, biological, psychic or social individual without information.; Information implies the becoming of and in the matter.; Under such a foundation,; Information; Science takes place in the virtual-intensive-current cycle while following the materiality it owes as it is informed and individualized.; Information; Science is open to the possibility of thinking about information as an intensive force on an immanent plan."
"Informação, ciberespaço e consciência",Rubens Ribeiro Gonçalves da Silva,2006,Artigo,"Ciência da informação; Ciberespaço; Consciência; Digitalização; Epistemologia; Informação; Digitalization; Abstract:; This article presents a theoretic-philosophical conception based on a dialectical methodological approach.; Departing from the; Platonic´cave allegory´, it elaborates a reflection about the changes brought about by the use and dissemination of computers connected to the cyberspace..; It also proposes that the concept of information adopted in; Information; Science be primarily defined as a process, not as a product.; Based on the; Marxian thesis of consciousness, the author suggests linking the categories of´knowledge´ and´action´ to the proposed concept.; The adopted point of view is neither focused on the product, nor on the phenomenon or the object: it is rather oriented to the purposes, in such extent that the concept itself is defined according to the social needs that must be attended to.; In the conclusion, the author argues that, at the digital universe, the expression´information representation´ should not be adopted as a substitute to the term´information.; Two new categories are presented to support the argument: the´dimension´, related to digital informational contents, and the´instance´, related to technologies of digital remote access."
"Uma questão de interesses (contraditórios) na Ciência da Informação: ela é, por natureza, interdisciplinar, especialistas?",Zayr Cláudio Gomes da Silva; Marlene Oliveira,2021,Artigo,Epistemologia; Interdisciplinaridade; Ciência da informação; Natureza interdisciplinar; Controvérsias científicas
Faces da pesquisa e da interdisciplinaridade em Ciência da Informação no Brasil.,Renato José da Silva,2005,Trabalho em Evento,"Ciência da informação; Epistemologia; Conceitos; Pesquisa; Interdisciplinaridade; Pesquisar; Abstract:; Exploratory work about the concepts of the research and the interdisciplinary used by the post graduation programs in; Information; Science (IS), in; Brazil.; The purpose was finding out if these same concepts present efficacy for the construction of a scientific field in this area.; Therefore, it was elaborated one model of analysis to allow, identify and analyze in the (IS) literature indicators that give evidence that the concepts of the research and interdisciplinary are not always used how scientific concept in the area.; Starting from this analysis, it was concluded that the construction of a scientific field in the; IS requires a new definition about what is the meaning of research and interdisciplinary nowadays."
Ciência da Informação e interdisciplinaridade no contexto brasileiro: um estudo qualiquantitativo com foco no Enancib,Anderson Fabian Ferreira Higino; Lígia Maria Moreira Dumont,2012,Trabalho em Evento,"Ciência da informação; Epistemologia; Interdisciplinaridade; Abstract:; This research investigates theoretical constructions related to interdisciplinarity in; Information; Science which were developed in the; Brazilian context, focusing on the; Encontro; Nacional de; Pesquisa em; Ciência da informação (ENANCIB) from 2003 to 2008.; The theoretical framework draws on theorizations about interdisciplinarity from scholarly debate in general, reflecting both international and; Brazilian contexts.; The methodological design is rooted in social constructivist paradigm and involves a qualiquantitative approach to the research subject: 1) a mapping of the discussion intensity in 293 articles, based on the frequency distributions of the terms ‘interdisciplinarity’ and their variations., 2) an interpretive analysis of argumentative contents within an empirical nucleus constituted by 19 oral presentations from the; History and; Epistemology subject area.; The analysis reveals inconsistencies, fragilities and tensions, besides articulations between theoretical discourse and political-institutional action.; Discussions on the meaning of these findings to both; ENANCIB and; Brazilian scientific context of the area evidence the need to enhance and deepen the debate on the subject.; They also lead to the proposition of the categories ‘lato sensu interdisciplinarity’ and ‘stricto sensu interdisciplinarity’, as well as the ‘principle of interdisciplinarity presumption’, which compose a critical synthesis of difficulties, challenges and potentialities pointed out by the present investigation.; To foster the development of theorizations on the research subject, one suggests improving the inducing, assessing and monitoring roles played by institutional forums."
Princípios científicos que direcionam a ciência e a tecnologia da informação digital,Yves-François Le Coadic,2004,Artigo,"Ciência da informação; Tecnologia da informação; Informação digital; Epistemologia; Princípios científicos; Abstract:; Within the framework of an epistemological project, a short critical study of five directing scientific principles, characteristic of the new informational paradigms which are present today in electronic information science and technology, is presented.; In this discipline, either on the level of scientific knowledge construction or on the level of scientific information production, communication and use, new intellectual reinforcements are mobilized.; Strong scientific principles exist and characterize new scientific paradigms.; Adopted by some information scientists, thwarted or diverted by others, they are more or less fixed.; Moreover, strong sociological, economic and political determinants come to scramble them and technological outburst, although accepted, adds a strong instability."
Reflexões sobre o termo e conceito ‘informação arqueológica’: um estudo a partir da terminologia e da representação da informação,Sérgio Rodrigues Santana; Eliane Epifane Martins; Lília Mara de Menezes; Maytê Luanna Dias de Melo; Carla Daniella Teixeira Girard,2023,Artigo,"Informação arqueológica; Representação da informação; Terminologia; Epistemologia; Ciência da informação; Abstract:; The article reflected about some archaeological information’s epistemic bases, and the justification of this study was the expansion and updating of the studies of; Brazilian; Archeological; Terminology through the perspective’s interdisciplinary from; Information; Science field that seeks to keep in the scope of its reflections of groups and communities scientific.; It was based on the method’s comprehensive-descriptive-interpretative, supported by; Terminological and studies’; Information; Representation to obtain results that demonstrate; Archaeological; Information is a set of traces, evidence, signs and clues located and treated.; Thus,; Archaeological; Information it is a set of information and knowledge about the cultural, social identity, and material (ornamental technologies and technical technological) aspects of a given society and/or group belonging to an agrapha past.; Archaeological information has the potential to visualize the context of cultural, social, identity, environmental and technological anticipations of current societies and their impacts on future societies, in view of its memorialistic-historical essentiality that constitutes material culture (knowledge).; The; Archaeological; Information application deals with the efficient and effective representation (thematic - indexing/descriptive - cataloging) of its study objects (materials); facilitates the archaeologists’ written language; subsidizes the archaeologists’s orality professional intergroup and individual; minimizes the ambiguous the; Information; Society’s ambivalent content; facilitates the dissemination of; Archaeological; Information, beyond academic fraternities; facilitates the promotion of interdisciplinarity with other areas, especially for areas such as history, museology, archival science, library science, anthropology, paleontology and others, and manages archaeological information/knowledge regarding current social, cultural and environmental anticipation."
Mutações na Ciência da Informação e reflexos nas mandalas interdisciplinares,Lena Vania Ribeiro Pinheiro,2018,Artigo,Ciência da informação; Epistemologia da; Ciência da; Informação; Interdisciplinaridade; Epistemologia; Mapeamento da literatura; Metria de informação e comunicação; Mandala; Metrias de informacao e comunicacao; Mandalas
Epistemologia e Ciência da Informação: fundamentos teóricos e produção bibliográfica nacional,Cezar Karpinski,2018,Trabalho em Evento,Epistemologia; Ciência da informação; Teoria do conhecimento; Ciência; Interdisciplinaridade 216 xix encontro nacional de pesquisa em ciência da informação-enancib 2018 22 a 26 de outubro de 2018-londrina-pr
A Ciência da Informação entre os feitiços dos centros de ciência e os andídotos dos laboratórios da vida,Bianca Rihan Pinheiro Amorim; Gustavo Silva Saldanha,2016,Trabalho em Evento,"Epistemologia da; Ciência da; Informação; Dialética; Gramsci; Bourdieu; Abstract:; Increasing the criticism from the philosophy of language - which draws attention to the importance of more complex analyzes about the epistemology of information science, or the epistemology of knowledge organization, to overcome the positivist formalism which has dominated the segment so far- we propose to think the symbolic power of language connected with other dimensions of reality that surrounded / surround the institutionalization and development of the same, and are equally important its conformation.; In addressing the discursive issues that permeate the constitution of information science, we will emphasize the other determinations of social life that guide it, especially for the positions and the objective social properties.; Thus, considering the method for the production of knowledge based on dialectical reason, which seeks to capture reality in its multiple determinations and reaffirm the historical character and creator of human practice, we see the representations of the; Information; Science from the movements of contact and conflict that interconnect to so many variables inside and the surrounding of the segment.; In this sense, knowledge of reality references to, overall, rearticulating parts of this project through its dynamic of constant transformation.; In order to proceed with this analysis, we propose a dialogue between; Gramsci and; Bourdieu, anticipated by a discussion of historical epistemology under the diltheyana argument in the context of; Information; Science."
