title,author,year,publication_type,keywords
Traçados e limites da Ciência da Informação,Lena Vania Ribeiro Pinheiro; José Mauro Matheus Loureiro,2018,Artigo,Ciência da informação; Teoria da ciência da informação; Fundamento da ciência da informação; Interdisciplinaridade; Fundamentos da ciência da informação; Information science; Interdisciplinarity; Ciencia de la información; Interdisciplinariedad; Ciencias de la información
Resumos das dissertações em Ciência da Informação,Curso de Mestrado em Ciência da Informação da Ufrj; Curso de Mestrado em Ciência da Informação da (ufrj),1979,Artigo,Ciência da informação; Information science; Ciencia de la información; Ciencias de la información
Traçados e limites da Ciência da Informação,Lena Vania Ribeiro Pinheiro; José Mauro Matheus Loureiro,2017,Artigo,Ciência da informação; Teoria da ciência da informação; Fundamentos da ciência da informação; Interdisciplinaridade; Tendências de; Pensamento; Information science; Interdisciplinarity; Ciencia de la información; Interdisciplinariedad; Ciencias de la información
O relatório de peter havard-williams e a Ciência da Informação no Brasil,Gabriela Fernanda Ribeiro Rodrigues; Eliane Braga de Oliveira; Carlos Henrique Juvêncio,2023,Trabalho em Evento,história da ciência da informação; programas de pós-graduação em ciência da informação; peter havard-williams.; Palavras-chave:; História da ciência da informação; Programas de pós-graduação em ciência da informação; Peter havard-williams
Itinerários filosóficos da Ciência da Informação no Brasil: o pioneirismo do Ibict e a propagação das ideias,Lena Vania Ribeiro Pinheiro,2017,Artigo,Ciência da informação; Pesquisa teórica na ciência da informação; Filosofia da ciência da informação; Programa de pós-graduação em ciência da informação; Rafael capurro; Pesquisas teóricas na ciência da informação; Programas de pós-graduação em ciência da informação; Information science; Ciencia de la información; Ciencias de la información
A formação dos docentes em Ciência da Informação no Brasil,Edcleyton B. F. Silva; Marlene Oliveira,2021,Artigo,formação em ciência da informação. pós-graduação em ciência da informação. ciência da informação no brasil.; Palavras-chave:
"As possibilidades de aproximação e diálogo entre arquivologia, biblioteconomia e museologia via modelo formativo: o caso da ECI/UFMG",José Alimatéia de Aquino Ramos; Carlos Alberto Àvila de Araújo,2014,Artigo,"Ciência da informação; Biblioteconomia; Arquivologia; Museologia; Dialogo; Modelo formativo; Campo integrador; Ciência da informação-diálogo; Ciência da informação-modelo formativo-campo integrador; Abstract:; Apresenta resultados de uma pesquisa que buscou identificar as percepções dos docentes da; Escola de; Ciência da; Informação da; UFMG sobre as possibilidades de aproximação e diálogo via modelo formativo entre os cursos de; Arquivologia,; Biblioteconomia e; Museologia tendo a; Ciência da; Informação como campo integrador.; Os resultados destacam as relações estabelecidas entre a; Ciência da; Informação e estas áreas, bem como a visão dos docentes sobre a ideia de; Ciência da; Informação como base para a formação nestas áreas.; Apresenta a visão dos docentes sobre os pontos convergentes entre as áreas, bem como os pontos que dificultam a integração destas áreas do ponto de vista do modelo formativo.; Arquivologia; Museologia; Biblioteconomia; Ciência da informação-diálogo; Ciência da informação-modelo formativo-campo integrador; Information science; Museology; Archival science; Librarianship; Ciencia de la información; Museología; Ciencia archivística; Cargo de bibliotecario; Ciencias de la información"
"A(s) disciplinaridade(s) da Ciência da Informação: aplicação das leis da dialética marxista no contexto pluri, inter e transdisciplinar",Jonathas Luiz Carvalho Silva,2013,Artigo,"Ciência da informação; Filosofia; Dialética; Lel; Categoria; Pluridisciplinaridade; Interdisciplinaridade; Transdisciplinaridade; Biblioteconomia; Leis; Categorias; Dialética-leis-categorias; Abstract:; Discute sobre a construção disciplinar do conhecimento na; Ciência da; Informação a partir da aplicação das leis da dialética marxista.; Apresenta como síntese problematizadora a seguinte pergunta: como é possível aplicar as leis/categorias da dialética marxista à; Ciência da; Informação?; Tem como objetivo uma reflexão sobre a dialética marxista (materialista) e as formas de aplicação das leis da dialética à; Ciência da; Informação.; A metodologia do presente estudo consiste de uma pesquisa de nível exploratório com delineamento bibliográfico.; Concluímos que há possibilidades diversas de aplicação das leis da dialética marxista à; Ciência da; Informação, especialmente no que toca a lei da mudança qualitativa, a lei da ação recíproca e a lei da luta dos contrários.; Porém, essas aplicações se estabelecem não como uma verdade, mas como pressupostos para compreender os significados do caráter disciplinar da; Ciência da; Informação no âmbito de suas transformações epistemológicas.; Biblioteconomia; Ciência da informação; Dialética-leis-categorias; Pluridisciplinaridade; Interdisciplinaridade; Transdisciplinaridade; Information science; Interdisciplinarity; Transdisciplinarity; Librarianship; Ciencia de la información; Interdisciplinariedad; Transdisciplinariedad; Cargo de bibliotecario; Ciencias de la información"
